,latitud,longitud,barrio,property_type,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,property_price
227884,-34.588451,-58.408353,Palermo,departamento,4,3,199,151,380000
53525,-34.5798754563,-58.4156920858,Palermo,departamento,2,1,35,32,100000
427544,-34.6344191,-58.4871342,Floresta,departamento,4,3,133,121,209900
422383,-34.592285046510405,-58.39708961222476,Recoleta,departamento,3,2,66,62,250000
399019,-34.614081,-58.386084,Monserrat,departamento,2,1,40,40,69700
147384,-34.5830362,-58.4119725,Palermo,departamento,3,2,140,116,420000
103673,-34.560531,-58.458982,Belgrano,departamento,3,2,74,58,153000
168696,-34.6333203,-58.3999374,Parque Patricios,departamento,2,1,62,45,110000
223734,-34.5444212735,-58.4616879122,Nuñez,departamento,4,3,138,127,585000
157983,-34.5803336,-58.4552614,Colegiales,departamento,2,1,34,34,65000
339488,-34.6025935418,-58.4264069159,Almagro,departamento,2,1,41,41,95000
63710,-34.5845219,-58.4134053,Palermo,departamento,2,1,44,44,114000
